         3899838 function calls (3855501 primitive calls) in 31.884 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 configobj.py:2368(SimpleVal)
        1    0.000    0.000    0.004    0.004 configobj.py:16(<module>)
        1    0.000    0.000    0.000    0.000 validate.py:356(ValidateError)
        1    0.000    0.000    0.000    0.000 validate.py:370(VdtMissingValue)
        1    0.000    0.000    0.000    0.000 validate.py:374(VdtUnknownCheckError)
        1    0.000    0.000    0.000    0.000 validate.py:386(VdtParamError)
        1    0.000    0.000    0.000    0.000 validate.py:398(VdtTypeError)
        1    0.000    0.000    0.000    0.000 validate.py:410(VdtValueError)
        1    0.000    0.000    0.000    0.000 validate.py:422(VdtValueTooSmallError)
        1    0.000    0.000    0.000    0.000 validate.py:434(VdtValueTooBigError)
        1    0.000    0.000    0.000    0.000 validate.py:446(VdtValueTooShortError)
        1    0.000    0.000    0.000    0.000 validate.py:460(VdtValueTooLongError)
        1    0.000    0.000    0.000    0.000 validate.py:563(__init__)
     1093    0.001    0.000    0.002    0.000 validate.py:593(check)
        5    0.000    0.000    0.000    0.000 validate.py:646(<listcomp>)
     1093    0.001    0.000    0.001    0.000 validate.py:637(_parse_with_caching)
     1091    0.001    0.000    0.001    0.000 validate.py:651(_check_value)
        5    0.000    0.000    0.000    0.000 validate.py:660(_parse_check)
        1    0.000    0.000    0.000    0.000 validate.py:700(_unquote)
        1    0.000    0.000    0.004    0.004 validate.py:472(Validator)
       14    0.000    0.000    0.000    0.000 validate.py:746(_is_num_param)
        3    0.000    0.000    0.000    0.000 validate.py:783(is_integer)
        1    0.000    0.000    0.000    0.000 validate.py:839(is_float)
     1077    0.000    0.000    0.000    0.000 validate.py:897(is_boolean)
       10    0.000    0.000    0.000    0.000 validate.py:1073(is_string)
        1    0.000    0.000    0.005    0.005 validate.py:17(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:77(_safe_key)
        1    0.000    0.000    0.000    0.000 pprint.py:103(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 pprint.py:11(<module>)
        1    0.000    0.000    0.000    0.000 codegen.py:3(<module>)
        3    0.000    0.000    0.000    0.000 introspection.py:20(resolve_name)
        3    0.000    0.000    0.000    0.000 introspection.py:92(minversion)
       28    0.000    0.000    0.018    0.001 introspection.py:165(find_current_module)
       28    0.000    0.000    0.017    0.001 introspection.py:275(_get_module_from_frame)
        1    0.000    0.000    0.000    0.000 introspection.py:3(<module>)
        5    0.000    0.000    0.000    0.000 decorators.py:78(deprecate_doc)
        8    0.000    0.000    0.000    0.000 decorators.py:95(get_function)
        3    0.000    0.000    0.000    0.000 decorators.py:113(<lambda>)
        3    0.000    0.000    0.000    0.000 decorators.py:104(deprecate_function)
        2    0.000    0.000    0.000    0.000 decorators.py:139(deprecate_class)
        3    0.000    0.000    0.000    0.000 decorators.py:163(deprecate)
        3    0.000    0.000    0.000    0.000 decorators.py:26(deprecated)
       39    0.000    0.000    0.023    0.001 decorators.py:478(wrapper)
       12    0.000    0.000    0.000    0.000 decorators.py:432(decorator)
       12    0.000    0.000    0.000    0.000 decorators.py:276(deprecated_renamed_argument)
        1    0.000    0.000    0.000    0.000 decorators.py:647(wrapper)
        2    0.000    0.000    0.000    0.000 decorators.py:643(__new__)
        1    0.000    0.000    0.000    0.000 decorators.py:654(__init__)
        1    0.000    0.000    0.000    0.000 decorators.py:701(_wrap_fget)
        1    0.000    0.000    0.000    0.000 decorators.py:545(classproperty)
       43    0.000    0.000    0.000    0.000 decorators.py:753(__init__)
      117    0.000    0.000    0.338    0.003 decorators.py:758(__get__)
        1    0.000    0.000    0.000    0.000 decorators.py:718(lazyproperty)
        1    0.000    0.000    0.000    0.000 decorators.py:792(sharedmethod)
        1    0.000    0.000    0.007    0.007 decorators.py:3(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:24(AstropyWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:32(AstropyUserWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:40(AstropyDeprecationWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:46(AstropyPendingDeprecationWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:52(AstropyBackwardsIncompatibleChangeWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:62(DuplicateRepresentationWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:68(_NoValue)
        2    0.000    0.000    0.007    0.003 exceptions.py:2(<module>)
        3    0.000    0.000    0.006    0.002 __init__.py:5(<module>)
        1    0.000    0.000    0.003    0.003 version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:70(ErfaError)
        1    0.000    0.000    0.000    0.000 core.py:81(ErfaWarning)
        1    0.000    0.000    0.000    0.000 core.py:8(<module>)
        2    0.000    0.000    0.000    0.000 helpers.py:121(__new__)
        2    0.000    0.000    0.000    0.000 helpers.py:132(__init__)
        2    0.000    0.000    0.000    0.000 helpers.py:179(_wrap_fget)
        1    0.000    0.000    0.000    0.000 helpers.py:23(classproperty)
        1    0.000    0.000    0.000    0.000 helpers.py:194(leap_seconds)
        1    0.000    0.000    0.000    0.000 helpers.py:2(<module>)
       25    0.000    0.000    0.000    0.000 misc.py:38(isiterable)
        1    0.000    0.000    0.000    0.000 misc.py:59(_DummyFile)
        1    0.000    0.000    0.000    0.000 misc.py:113(NumpyRNGContext)
       28    0.000    0.000    0.000    0.000 locale.py:651(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 locale.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shapes.py:13(NDArrayShapeMethods)
        1    0.000    0.000    0.000    0.000 shapes.py:252(<dictcomp>)
        1    0.000    0.000    0.000    0.000 shapes.py:137(ShapedLikeNDArray)
        1    0.000    0.000    0.000    0.000 shapes.py:303(IncompatibleShapeError)
        1    0.000    0.000    0.000    0.000 shapes.py:2(<module>)
        1    0.000    0.000    0.000    0.000 misc.py:2(<module>)
        1    0.000    0.000    0.000    0.000 numpycompat.py:2(<module>)
        6    0.000    0.000    0.021    0.004 context.py:1(<module>)
        1    0.000    0.000    0.000    0.000 affiliated.py:2(<module>)
        1    0.000    0.000    0.000    0.000 state.py:10(ScienceState)
        1    0.000    0.000    0.000    0.000 state.py:1(<module>)
       15    0.000    0.000    0.000    0.000 runner.py:36(__init__)
       15    0.000    0.000    0.000    0.000 runner.py:41(keyword)
       15    0.000    0.000    0.000    0.000 runner.py:40(__call__)
        1    0.000    0.000    0.000    0.000 runner.py:23(keyword)
        1    0.000    0.000    0.000    0.000 runner.py:83(__init__)
       20    0.000    0.000    0.000    0.000 runner.py:104(<lambda>)
       15    0.000    0.000    0.000    0.000 runner.py:106(<lambda>)
        1    0.000    0.000    0.000    0.000 runner.py:86(__new__)
        1    0.000    0.000    0.000    0.000 runner.py:244(make_test_runner_in)
        1    0.000    0.000    0.000    0.000 runner.py:53(TestRunnerBase)
        1    0.000    0.000    0.000    0.000 runner.py:326(coverage)
        1    0.000    0.000    0.000    0.000 runner.py:339(package)
        1    0.000    0.000    0.000    0.000 runner.py:360(test_path)
        1    0.000    0.000    0.000    0.000 runner.py:403(args)
        1    0.000    0.000    0.000    0.000 runner.py:415(plugins)
        1    0.000    0.000    0.000    0.000 runner.py:426(verbose)
        1    0.000    0.000    0.000    0.000 runner.py:438(pastebin)
        1    0.000    0.000    0.000    0.000 runner.py:454(remote_data)
        1    0.000    0.000    0.000    0.000 runner.py:479(pep8)
        1    0.000    0.000    0.000    0.000 runner.py:497(pdb)
        1    0.000    0.000    0.000    0.000 runner.py:508(open_files)
        1    0.000    0.000    0.000    0.000 runner.py:535(parallel)
        1    0.000    0.000    0.000    0.000 runner.py:554(docs_path)
        1    0.000    0.000    0.000    0.000 runner.py:576(skip_docs)
        1    0.000    0.000    0.000    0.000 runner.py:585(repeat)
        1    0.000    0.000    0.000    0.000 runner.py:279(TestRunner)
        2    0.000    0.000    0.002    0.001 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:55(Error)
      881    0.001    0.000    0.004    0.000 copy.py:66(copy)
      881    0.001    0.000    0.002    0.000 copy.py:258(_reconstruct)
        1    0.000    0.000    0.000    0.000 copy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shlex.py:19(shlex)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:123(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 tempfile.py:406(_TemporaryFileCloser)
        1    0.000    0.000    0.000    0.000 tempfile.py:449(_TemporaryFileWrapper)
        1    0.000    0.000    0.000    0.000 tempfile.py:622(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 tempfile.py:767(TemporaryDirectory)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 logger.py:38(LoggingError)
        1    0.000    0.000    0.000    0.000 logger.py:45(_AstLogIPYExc)
        1    0.000    0.000    0.001    0.001 logger.py:54(Conf)
        1    0.000    0.000    0.000    0.000 logger.py:97(_init_log)
        2    0.000    0.000    0.000    0.000 logger.py:215(warnings_logging_enabled)
        1    0.000    0.000    0.000    0.000 logger.py:218(enable_warnings_logging)
        1    0.000    0.000    0.000    0.000 logger.py:275(exception_logging_enabled)
        1    0.000    0.000    0.000    0.000 logger.py:468(_set_defaults)
        1    0.000    0.000    0.000    0.000 logger.py:150(AstropyLogger)
        1    0.000    0.000    0.000    0.000 logger.py:528(StreamHandler)
        1    0.000    0.000    0.000    0.000 logger.py:562(FilterOrigin)
        1    0.000    0.000    0.000    0.000 logger.py:572(ListHandler)
        1    0.000    0.000    0.004    0.004 logger.py:2(<module>)
       44    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
       51    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
       51    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        2    0.000    0.000    0.000    0.000 __init__.py:248(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:276(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:424(__init__)
        1    0.000    0.000    0.000    0.000 misc.py:360(JsonCustomEncoder)
        1    0.000    0.000    0.000    0.000 misc.py:504(OrderedDescriptor)
        1    0.000    0.000    0.000    0.000 misc.py:589(OrderedDescriptorContainer)
        1    0.000    0.000    0.009    0.009 misc.py:3(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:746(Differ)
        1    0.000    0.000    0.000    0.000 difflib.py:1696(HtmlDiff)
        1    0.000    0.000    0.000    0.000 difflib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:183(dumps)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
        7    0.000    0.000    0.002    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        2    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        7    0.000    0.000    0.002    0.000 decoder.py:332(decode)
        7    0.001    0.000    0.002    0.000 decoder.py:343(raw_decode)
        1    0.000    0.000    0.000    0.000 decoder.py:254(JSONDecoder)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:182(encode)
        1    0.000    0.000    0.000    0.000 encoder.py:73(JSONEncoder)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       70    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       71    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
       72    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       50    0.000    0.000    0.004    0.000 traceback.py:200(extract_stack)
      150    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
       50    0.000    0.000    0.000    0.000 traceback.py:272(__getitem__)
      200    0.000    0.000    0.003    0.000 traceback.py:285(line)
        1    0.000    0.000    0.000    0.000 traceback.py:227(FrameSummary)
      200    0.000    0.000    0.000    0.000 traceback.py:292(walk_stack)
       50    0.000    0.000    0.004    0.000 traceback.py:321(extract)
        1    0.000    0.000    0.000    0.000 traceback.py:318(StackSummary)
        1    0.000    0.000    0.000    0.000 traceback.py:440(TracebackException)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:430(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:417(PercentStyle)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:475(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:559(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:514(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:692(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:734(Filter)
       42    0.000    0.000    0.000    0.000 __init__.py:776(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:771(Filterer)
        2    0.000    0.000    0.000    0.000 __init__.py:843(_addHandlerRef)
        2    0.000    0.000    0.000    0.000 __init__.py:862(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:891(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:853(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:1051(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1042(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1125(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        8    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
       17    0.000    0.000    0.000    0.000 __init__.py:1230(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
        2    0.000    0.000    0.000    0.000 __init__.py:1241(setLoggerClass)
        2    0.000    0.000    0.000    0.000 __init__.py:1254(getLoggerClass)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
       42    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
       39    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1359(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1372(_clear_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
       40    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1417(setLevel)
       10    0.000    0.000    0.000    0.000 __init__.py:1424(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:1601(addHandler)
        3    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
       10    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1749(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1743(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1760(LoggerAdapter)
       42    0.000    0.000    0.000    0.000 __init__.py:2018(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:2147(NullHandler)
        1    0.000    0.000    0.002    0.002 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 string.py:67(__init__)
        1    0.000    0.000    0.000    0.000 string.py:57(_TemplateMetaclass)
        1    0.000    0.000    0.000    0.000 string.py:80(Template)
        1    0.000    0.000    0.000    0.000 string.py:161(Formatter)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:22(Conf)
        1    0.000    0.000    0.000    0.000 card.py:34(__init__)
        1    0.000    0.000    0.000    0.000 card.py:31(Undefined)
    22563    0.014    0.000    0.014    0.000 card.py:157(__init__)
    46153    0.009    0.000    0.037    0.000 card.py:214(keyword)
      559    0.001    0.000    0.017    0.000 card.py:276(value)
    23005    0.004    0.000    0.007    0.000 card.py:460(field_specifier)
    22563    0.012    0.000    0.032    0.000 card.py:529(fromstring)
    22459    0.015    0.000    0.026    0.000 card.py:550(normalize_keyword)
      377    0.000    0.000    0.005    0.000 card.py:584(_check_if_rvkc)
     1846    0.001    0.000    0.002    0.000 card.py:634(_check_if_rvkc_image)
    22563    0.019    0.000    0.027    0.000 card.py:680(_parse_keyword)
      377    0.001    0.000    0.011    0.000 card.py:721(_parse_value)
      377    0.001    0.000    0.001    0.000 card.py:800(_split)
        1    0.000    0.000    0.005    0.005 card.py:42(Card)
    22563    0.003    0.000    0.004    0.000 card.py:1284(_pad)
        1    0.000    0.000    0.048    0.048 card.py:3(<module>)
        1    0.000    0.000    0.000    0.000 util.py:35(NotifierMixin)
 2262/624    0.001    0.000    0.001    0.000 util.py:166(itersubclasses)
        1    0.000    0.000    0.000    0.000 util.py:203(ignore_sigint)
        1    0.000    0.000    0.000    0.000 util.py:263(encode_ascii)
      156    0.000    0.000    0.000    0.000 util.py:362(isfile)
       39    0.000    0.000    0.001    0.000 util.py:380(fileobj_open)
       39    0.000    0.000    0.000    0.000 util.py:393(fileobj_name)
       39    0.000    0.000    0.000    0.000 util.py:443(fileobj_mode)
       39    0.000    0.000    0.000    0.000 util.py:476(_fileobj_normalize_mode)
       13    0.000    0.000    0.000    0.000 util.py:501(fileobj_is_binary)
      260    0.000    0.000    0.000    0.000 util.py:522(translate)
       39    0.001    0.000    0.326    0.008 util.py:556(_array_from_file)
      260    0.000    0.000    0.000    0.000 util.py:743(_is_int)
      260    0.000    0.000    0.000    0.000 util.py:747(_str_to_num)
       39    0.000    0.000    0.000    0.000 util.py:815(_get_array_mmap)
        1    0.000    0.000    0.042    0.042 util.py:3(<module>)
       39    0.000    0.000    0.000    0.000 gzip.py:79(__init__)
    17839    0.009    0.000    0.071    0.000 gzip.py:85(read)
     8122    0.003    0.000    0.004    0.000 gzip.py:98(prepend)
       39    0.000    0.000    0.000    0.000 gzip.py:107(seek)
      377    0.000    0.000    0.000    0.000 gzip.py:112(seekable)
        1    0.000    0.000    0.000    0.000 gzip.py:74(_PaddedFile)
        1    0.000    0.000    0.000    0.000 gzip.py:116(BadGzipFile)
       39    0.000    0.000    0.002    0.000 gzip.py:133(__init__)
      702    0.000    0.000    0.337    0.000 gzip.py:287(read)
     1118    0.000    0.000    0.000    0.000 gzip.py:314(closed)
       39    0.000    0.000    0.001    0.000 gzip.py:318(close)
      377    0.000    0.000    0.373    0.001 gzip.py:368(seek)
        1    0.000    0.000    0.000    0.000 gzip.py:120(GzipFile)
       39    0.000    0.000    0.000    0.000 gzip.py:394(__init__)
      104    0.000    0.000    0.000    0.000 gzip.py:401(_init_read)
       91    0.000    0.000    0.000    0.000 gzip.py:405(_read_exact)
      104    0.001    0.000    0.005    0.000 gzip.py:421(_read_gzip_header)
    12049    0.015    0.000    0.682    0.000 gzip.py:454(read)
    12023    0.005    0.000    0.132    0.000 gzip.py:505(_add_read_data)
       13    0.000    0.000    0.000    0.000 gzip.py:509(_read_eof)
       39    0.000    0.000    0.000    0.000 gzip.py:530(_rewind)
        1    0.000    0.000    0.000    0.000 gzip.py:393(_GzipReader)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        1    0.000    0.000    0.003    0.003 data.py:65(Conf)
        1    0.000    0.000    0.000    0.000 data.py:113(CacheMissingWarning)
       39    0.000    0.000    0.001    0.000 data.py:122(is_url)
        1    0.000    0.000    0.000    0.000 data.py:1020(_ftptlswrapper)
        1    0.000    0.000    0.000    0.000 data.py:1031(_FTPTLSHandler)
        1    0.000    0.000    0.000    0.000 data.py:1741(ReadOnlyDict)
        1    0.000    0.000    0.000    0.000 data.py:1749(CacheDamaged)
        1    0.000    0.000    0.040    0.040 data.py:3(<module>)
      217    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      218    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      219    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      220    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        1    0.000    0.000    0.000    0.000 socket.py:210(_GiveupOnSendfile)
        1    0.000    0.000    0.000    0.000 socket.py:213(socket)
        1    0.000    0.000    0.000    0.000 socket.py:626(SocketIO)
        1    0.000    0.000    0.004    0.004 socket.py:4(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:60(_SelectorMapping)
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:206(_BaseSelectorImpl)
        1    0.000    0.000    0.000    0.000 selectors.py:290(SelectSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:341(_PollLikeSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:433(PollSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:506(KqueueSelector)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:153(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ssl.py:158(TLSVersion)
        1    0.000    0.000    0.000    0.000 ssl.py:168(_TLSContentType)
        1    0.000    0.000    0.000    0.000 ssl.py:182(_TLSAlertType)
        1    0.000    0.000    0.000    0.000 ssl.py:223(_TLSMessageType)
        4    0.000    0.000    0.001    0.000 ssl.py:451(__new__)
        1    0.000    0.000    0.000    0.000 ssl.py:446(_ASN1Object)
        1    0.000    0.000    0.000    0.000 ssl.py:467(Purpose)
        1    0.000    0.000    0.000    0.000 ssl.py:474(SSLContext)
        1    0.000    0.000    0.000    0.000 ssl.py:812(SSLObject)
        1    0.000    0.000    0.000    0.000 request.py:323(Request)
        1    0.000    0.000    0.000    0.000 request.py:432(OpenerDirector)
        1    0.000    0.000    0.000    0.000 request.py:611(BaseHandler)
        1    0.000    0.000    0.000    0.000 request.py:630(HTTPErrorProcessor)
        1    0.000    0.000    0.000    0.000 request.py:647(HTTPDefaultErrorHandler)
        1    0.000    0.000    0.000    0.000 request.py:651(HTTPRedirectHandler)
        1    0.000    0.000    0.000    0.000 request.py:797(ProxyHandler)
        1    0.000    0.000    0.000    0.000 request.py:840(HTTPPasswordMgr)
        1    0.000    0.000    0.000    0.000 request.py:904(HTTPPasswordMgrWithDefaultRealm)
        1    0.000    0.000    0.000    0.000 request.py:914(HTTPPasswordMgrWithPriorAuth)
        1    0.000    0.000    0.000    0.000 request.py:945(AbstractBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 request.py:1056(HTTPBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 request.py:1067(ProxyBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 request.py:1086(AbstractDigestAuthHandler)
        1    0.000    0.000    0.000    0.000 request.py:1232(HTTPDigestAuthHandler)
        1    0.000    0.000    0.000    0.000 request.py:1250(ProxyDigestAuthHandler)
        1    0.000    0.000    0.000    0.000 request.py:1262(AbstractHTTPHandler)
        1    0.000    0.000    0.000    0.000 request.py:1380(HTTPHandler)
        1    0.000    0.000    0.000    0.000 request.py:1389(HTTPSHandler)
        1    0.000    0.000    0.000    0.000 request.py:1404(HTTPCookieProcessor)
        1    0.000    0.000    0.000    0.000 request.py:1422(UnknownHandler)
        1    0.000    0.000    0.000    0.000 request.py:1480(FileHandler)
        1    0.000    0.000    0.000    0.000 request.py:1537(FTPHandler)
        1    0.000    0.000    0.000    0.000 request.py:1595(CacheFTPHandler)
        1    0.000    0.000    0.000    0.000 request.py:1648(DataHandler)
        1    0.000    0.000    0.000    0.000 request.py:1701(URLopener)
        1    0.000    0.000    0.000    0.000 request.py:2146(FancyURLopener)
        1    0.000    0.000    0.000    0.000 request.py:2399(ftpwrapper)
        1    0.000    0.000    0.017    0.017 request.py:1(<module>)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
        1    0.000    0.000    0.000    0.000 client.py:174(HTTPMessage)
        1    0.000    0.000    0.000    0.000 client.py:228(HTTPResponse)
        1    0.000    0.000    0.000    0.000 client.py:768(HTTPConnection)
        1    0.000    0.000    0.000    0.000 client.py:1368(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1426(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1431(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1434(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1437(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1442(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1445(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1448(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1462(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1465(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1468(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1471(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1474(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1481(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1486(RemoteDisconnected)
        1    0.000    0.000    0.008    0.008 client.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:16(Parser)
        1    0.000    0.000    0.000    0.000 parser.py:71(HeaderParser)
        1    0.000    0.000    0.000    0.000 parser.py:79(BytesParser)
        1    0.000    0.000    0.000    0.000 parser.py:126(BytesHeaderParser)
        1    0.000    0.000    0.006    0.006 parser.py:5(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:45(BufferedSubFile)
        1    0.000    0.000    0.000    0.000 feedparser.py:136(FeedParser)
        1    0.000    0.000    0.000    0.000 feedparser.py:532(BytesFeedParser)
        1    0.000    0.000    0.006    0.006 feedparser.py:5(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:8(MessageError)
        1    0.000    0.000    0.000    0.000 errors.py:12(MessageParseError)
        1    0.000    0.000    0.000    0.000 errors.py:16(HeaderParseError)
        1    0.000    0.000    0.000    0.000 errors.py:20(BoundaryError)
        1    0.000    0.000    0.000    0.000 errors.py:24(MultipartConversionError)
        1    0.000    0.000    0.000    0.000 errors.py:28(CharsetError)
        1    0.000    0.000    0.000    0.000 errors.py:33(MessageDefect)
        1    0.000    0.000    0.000    0.000 errors.py:41(NoBoundaryInMultipartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:44(StartBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:47(CloseBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:50(FirstHeaderLineIsContinuationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:53(MisplacedEnvelopeHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:56(MissingHeaderBodySeparatorDefect)
        1    0.000    0.000    0.000    0.000 errors.py:61(MultipartInvariantViolationDefect)
