         3899838 function calls (3855501 primitive calls) in 31.884 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    56428    0.004    0.000    0.004    0.000 {method 'upper' of 'str' objects}
    76473    0.011    0.000    0.011    0.000 {method 'startswith' of 'str' objects}
    15213    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     1015    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
     8482    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     1994    0.000    0.000    0.000    0.000 {method 'zfill' of 'str' objects}
5572/5439    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
      640    0.003    0.000    0.003    0.000 {built-in method _warnings.warn}
     7161    0.001    0.000    0.001    0.000 {built-in method _warnings._filters_mutated}
3723/3584    0.030    0.000    0.155    0.000 {built-in method builtins.__build_class__}
   629/23    0.001    0.000    1.500    0.065 {built-in method builtins.__import__}
      141    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
    14771    0.002    0.000    0.004    0.000 {built-in method builtins.all}
     1869    0.001    0.000    0.004    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.bin}
     7537    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
     1030    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      569    0.012    0.000    0.012    0.000 {built-in method builtins.compile}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      332    0.006    0.000    0.006    0.000 {built-in method builtins.dir}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       16    0.000    0.000    0.002    0.000 {built-in method builtins.eval}
   1429/9    0.007    0.000    1.847    0.205 {built-in method builtins.exec}
    38118    0.008    0.000    0.009    0.000 {built-in method builtins.getattr}
     1482    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
19842/19829    0.005    0.000    0.006    0.000 {built-in method builtins.hasattr}
17176/16737    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     2578    0.000    0.000    0.000    0.000 {built-in method builtins.id}
   171425    0.014    0.000    0.016    0.000 {built-in method builtins.isinstance}
    11782    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
     1344    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
271717/268310    0.015    0.000    0.015    0.000 {built-in method builtins.len}
       58    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
     4952    0.001    0.000    0.003    0.000 {built-in method builtins.max}
    40667    0.007    0.000    0.007    0.000 {built-in method builtins.min}
1482/1474    0.000    0.000    0.018    0.000 {built-in method builtins.next}
     6248    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       22    0.001    0.000    0.001    0.000 {built-in method builtins.print}
  350/348    0.001    0.000    0.001    0.000 {built-in method builtins.repr}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
    10965    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
1466/1446    0.003    0.000    0.098    0.000 {built-in method builtins.sorted}
      548    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
      461    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
     7081    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     7081    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        6    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      197    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
     1136    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
  123/120    0.229    0.002    0.231    0.002 {built-in method _imp.create_dynamic}
   123/99    0.025    0.000    0.085    0.001 {built-in method _imp.exec_dynamic}
        6    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      943    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
      943    0.092    0.000    0.092    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.000    0.000 {built-in method sys.audit}
        1    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
        1    0.000    0.000    0.000    0.000 {built-in method sys.getdefaultencoding}
        1    0.000    0.000    0.000    0.000 {built-in method sys.getdlopenflags}
        1    0.000    0.000    0.000    0.000 {built-in method sys.getfilesystemencoding}
        1    0.000    0.000    0.000    0.000 {built-in method sys.getfilesystemencodeerrors}
     2139    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 {built-in method sys.getsizeof}
      242    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
     2777    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        2    0.000    0.000    0.000    0.000 {built-in method sys.setdlopenflags}
        3    0.000    0.000    0.000    0.000 {built-in method gc.collect}
    10247    0.041    0.000    0.041    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.000    0.000 {built-in method posix.access}
        2    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      730    0.016    0.000    0.016    0.000 {built-in method posix.listdir}
     2048    0.004    0.000    0.004    0.000 {built-in method posix.lstat}
        2    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
        1    0.000    0.000    0.000    0.000 {built-in method posix.readlink}
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
        4    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        4    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        2    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
      294    0.003    0.000    0.003    0.000 {built-in method posix.open}
        4    0.000    0.000    0.000    0.000 {built-in method posix.close}
        3    0.007    0.002    0.007    0.002 {built-in method posix.read}
        2    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        2    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        2    0.000    0.000    0.000    0.000 {built-in method posix.unsetenv}
        1    0.000    0.000    0.000    0.000 {built-in method posix.strerror}
        1    0.000    0.000    0.000    0.000 {built-in method posix.WIFSIGNALED}
        1    0.000    0.000    0.000    0.000 {built-in method posix.WIFEXITED}
        1    0.000    0.000    0.000    0.000 {built-in method posix.WEXITSTATUS}
        1    0.000    0.000    0.000    0.000 {built-in method posix.sysconf}
        3    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
        3    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
        1    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
    18643    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      372    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
      760    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
      599    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
    18127    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
      465    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
       62    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
     1940    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
        8    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
       41    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
    65586    0.020    0.000    0.020    0.000 {method 'match' of 're.Pattern' objects}
       26    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
     4541    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
      736    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       14    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
     1891    0.003    0.000    0.003    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
      241    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       21    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        1    0.000    0.000    0.000    0.000 {built-in method _weakref.proxy}
       55    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
       31    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        2    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
        7    0.000    0.000    0.000    0.000 {built-in method _abc.get_cache_token}
     1217    0.003    0.000    0.003    0.000 {built-in method _abc._abc_init}
       22    0.000    0.000    0.001    0.000 {built-in method _abc._abc_register}
     1794    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
 1541/923    0.001    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
        6    0.000    0.000    0.000    0.000 {built-in method from_iterable}
       12    0.000    0.000    0.000    0.000 {built-in method atexit.register}
     1563    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
       12    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
     2044    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        3    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 {built-in method time.localtime}
     2457    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
     4175    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        1    0.000    0.000    0.000    0.000 {built-in method _thread._set_sentinel}
      617    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      617    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
