# Jupiter zonal wind from Cassini
# Credit: Porco et al., Science 299, 1541-1547 (2003)
# Planetocentric latitudes, u (m/s), uncertainty (m/s)
-67.2	 -2.7	 11.9
-67.1	 -3.1	 6.4
-67	 -3.3	 6.1
-66.9	 -2.3	 5.7
-66.8	 -1.5	 5.3
-66.7	 -0.7	 4.9
-66.6	 -0.3	 4.0
-66.5	 0.7	 4.0
-66.4	 1.6	 3.8
-66.3	 1.9	 3.5
-66.2	 3.2	 3.8
-66.1	 5.7	 6.5
-66	 8.6	 8.3
-65.9	 7.7	 7.2
-65.8	 9.4	 8.2
-65.7	 11.8	 8.9
-65.6	 12.0	 9.5
-65.5	 13.9	 9.0
-65.4	 14.7	 8.4
-65.3	 16.0	 7.8
-65.2	 17.3	 8.4
-65.1	 17.8	 10.4
-65	 18.3	 10.9
-64.9	 19.5	 11.6
-64.8	 21.2	 11.7
-64.7	 23.0	 12.5
-64.6	 23.8	 13.4
-64.5	 26.1	 12.9
-64.4	 31.1	 7.8
-64.3	 32.8	 7.3
-64.2	 33.3	 6.4
-64.1	 32.1	 9.0
-63.9	 33.9	 7.4
-63.8	 31.8	 10.5
-63.7	 31.9	 10.3
-63.6	 32.1	 10.3
-63.5	 33.1	 9.5
-63.4	 32.6	 9.7
-63.3	 32.2	 7.9
-63.2	 31.2	 7.3
-63.1	 30.3	 7.0
-63	 29.2	 8.1
-62.9	 29.2	 7.7
-62.8	 28.5	 7.7
-62.7	 24.3	 8.6
-62.6	 16.3	 23.1
-62.5	 18.6	 6.8
-62.4	 17.0	 6.8
-62.3	 17.0	 6.0
-62.2	 15.3	 4.9
-62.1	 14.5	 4.6
-62	 13.8	 4.2
-61.9	 13.1	 3.9
-61.8	 12.1	 4.0
-61.7	 10.7	 4.0
-61.6	 9.3	 3.6
-61.5	 8.3	 3.1
-61.4	 7.1	 2.3
-61.3	 6.4	 2.4
-61.2	 5.8	 2.5
-61.1	 4.7	 2.2
-61	 3.8	 2.1
-60.9	 3.9	 1.9
-60.8	 3.3	 2.2
-60.7	 3.2	 2.4
-60.6	 3.3	 2.5
-60.5	 3.2	 2.4
-60.4	 3.2	 2.4
-60.3	 3.0	 2.3
-60.2	 3.0	 2.3
-60.1	 2.9	 2.2
-60	 2.5	 1.9
-59.9	 2.8	 1.7
-59.8	 2.5	 1.8
-59.7	 2.9	 1.9
-59.6	 3.0	 2.0
-59.5	 3.6	 1.7
-59.4	 4.2	 1.7
-59.3	 5.0	 1.8
-59.2	 5.7	 1.6
-59.1	 6.2	 1.7
-59	 7.0	 2.0
-58.9	 7.7	 2.1
-58.8	 8.7	 2.1
-58.7	 9.5	 2.5
-58.6	 10.3	 2.3
-58.5	 11.3	 2.7
-58.4	 12.4	 2.7
-58.3	 13.2	 2.9
-58.2	 14.3	 3.1
-58.1	 15.7	 2.8
