# LAT    LCM    MU    RAD    ERROR    NU
3.50 186.52 6.71 1.87922e-07 9.39608e-09 563.97095
4.50 186.52 7.86 1.89482e-07 9.47411e-09 563.97095
5.50 186.52 9.00 1.92288e-07 9.61441e-09 563.97095
6.50 186.52 10.14 1.96882e-07 9.84412e-09 563.97095
7.50 186.52 11.28 2.04377e-07 1.02188e-08 563.97095
8.50 186.52 12.42 2.15133e-07 1.07566e-08 563.97095
9.50 186.52 13.55 2.28293e-07 1.14147e-08 563.97095
10.50 186.52 14.69 2.42402e-07 1.21201e-08 563.97095
11.50 186.52 15.82 2.55875e-07 1.27937e-08 563.97095
12.50 186.52 16.95 2.66457e-07 1.33228e-08 563.97095
13.50 186.52 18.07 2.72373e-07 1.36187e-08 563.97095
14.50 186.52 19.20 2.72196e-07 1.36098e-08 563.97095
15.50 186.52 20.32 2.66036e-07 1.33018e-08 563.97095
16.50 186.52 21.44 2.54962e-07 1.27481e-08 563.97095
17.50 186.52 22.56 2.41201e-07 1.20601e-08 563.97095
18.50 186.52 23.67 2.28582e-07 1.14291e-08 563.97095
19.50 186.52 24.78 2.21101e-07 1.10550e-08 563.97095
20.50 186.52 25.88 2.20450e-07 1.10225e-08 563.97095
21.50 186.52 26.98 2.25613e-07 1.12806e-08 563.97095
22.50 186.52 28.08 2.32440e-07 1.16220e-08 563.97095
23.50 186.52 29.18 2.34764e-07 1.17382e-08 563.97095
24.50 186.52 30.27 2.30941e-07 1.15471e-08 563.97095
25.50 186.52 31.35 2.26052e-07 1.13026e-08 563.97095
26.50 186.52 32.44 2.21462e-07 1.10731e-08 563.97095
27.50 186.52 33.51 2.16306e-07 1.08153e-08 563.97095
28.50 186.52 34.59 2.11701e-07 1.05850e-08 563.97095
29.50 186.52 35.65 2.07522e-07 1.03761e-08 563.97095
30.50 186.52 36.72 2.05122e-07 1.02561e-08 563.97095
31.50 186.52 37.78 2.05724e-07 1.02862e-08 563.97095
32.50 186.52 38.83 2.08875e-07 1.04438e-08 563.97095
33.50 186.52 39.88 2.10971e-07 1.05486e-08 563.97095
34.50 186.52 40.93 2.11012e-07 1.05506e-08 563.97095
35.50 186.52 41.97 2.08446e-07 1.04223e-08 563.97095
36.50 186.52 43.01 2.03811e-07 1.01906e-08 563.97095
37.50 186.52 44.04 2.00325e-07 1.00162e-08 563.97095
38.50 186.52 45.06 2.00590e-07 1.00295e-08 563.97095
39.50 186.52 46.09 2.03401e-07 1.01700e-08 563.97095
40.50 186.52 47.10 2.06624e-07 1.03312e-08 563.97095
41.50 186.52 48.11 2.08086e-07 1.04043e-08 563.97095
42.50 186.52 49.12 2.08396e-07 1.04198e-08 563.97095
43.50 186.52 50.12 2.08805e-07 1.04403e-08 563.97095
44.50 186.52 51.12 2.08993e-07 1.04496e-08 563.97095
45.50 186.52 52.12 2.08262e-07 1.04131e-08 563.97095
46.50 186.52 53.11 2.06831e-07 1.03416e-08 563.97095
47.50 186.52 54.09 2.05420e-07 1.02710e-08 563.97095
48.50 186.52 55.07 2.03884e-07 1.01942e-08 563.97095
49.50 186.52 56.04 2.02457e-07 1.01228e-08 563.97095
50.50 186.52 57.01 2.01380e-07 1.00690e-08 563.97095
51.50 186.52 57.98 2.01214e-07 1.00607e-08 563.97095
52.50 186.52 58.94 2.01894e-07 1.00947e-08 563.97095
53.50 186.52 59.90 2.02867e-07 1.01433e-08 563.97095
54.50 186.52 60.86 2.03579e-07 1.01789e-08 563.97095
55.50 186.52 61.81 2.03096e-07 1.01548e-08 563.97095
56.50 186.52 62.75 2.01909e-07 1.00954e-08 563.97095
57.50 186.52 63.69 2.00519e-07 1.00260e-08 563.97095
58.50 186.52 64.63 1.98771e-07 9.93854e-09 563.97095
59.50 186.52 65.57 1.97413e-07 9.87067e-09 563.97095
60.50 186.52 66.50 1.96174e-07 9.80868e-09 563.97095
61.50 186.52 67.42 1.94905e-07 9.74523e-09 563.97095
62.50 186.52 68.35 1.92433e-07 9.62165e-09 563.97095
63.50 186.52 69.27 1.88553e-07 9.42767e-09 563.97095
64.50 186.52 70.19 1.82958e-07 9.14791e-09 563.97095
65.50 186.52 71.10 1.76336e-07 8.81679e-09 563.97095
66.50 186.52 72.01 1.68942e-07 8.44712e-09 563.97095
67.50 186.52 72.92 1.61783e-07 8.08914e-09 563.97095
68.50 186.52 73.83 1.55338e-07 7.76688e-09 563.97095
69.50 186.52 74.73 1.49735e-07 7.48677e-09 563.97095
70.50 186.52 75.63 1.44929e-07 7.24647e-09 563.97095
71.50 186.52 76.53 1.40899e-07 7.04496e-09 563.97095
72.50 186.52 77.42 1.37496e-07 6.87481e-09 563.97095
73.50 186.52 78.32 1.34696e-07 6.73482e-09 563.97095
74.50 186.52 79.21 1.32362e-07 6.61808e-09 563.97095
75.50 186.52 80.10 1.30054e-07 6.50268e-09 563.97095
76.50 186.52 80.99 1.27661e-07 6.38306e-09 563.97095
77.50 186.52 81.87 1.25342e-07 6.26710e-09 563.97095
78.50 186.52 82.76 1.23059e-07 6.15295e-09 563.97095
79.50 186.52 83.64 1.20633e-07 6.03167e-09 563.97095
80.50 186.52 84.52 1.18038e-07 5.90189e-09 563.97095
81.50 186.52 85.40 1.15710e-07 5.78552e-09 563.97095
82.50 186.52 86.28 1.13773e-07 5.68865e-09 563.97095
83.50 186.52 87.16 1.12115e-07 5.60573e-09 563.97095
84.50 186.52 88.03 1.10783e-07 5.53916e-09 563.97095
85.50 186.52 88.91 1.10108e-07 5.50538e-09 563.97095
86.50 186.52 89.59 1.09942e-07 5.49709e-09 563.97095
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
