# LAT    LCM    MU    RAD    ERROR    NU
-89.50 128.46 86.27 1.57560e-07 7.87800e-09 532.73522
-88.50 128.46 85.40 1.57488e-07 7.87442e-09 532.73522
-87.50 128.46 84.52 1.58016e-07 7.90082e-09 532.73522
-86.50 128.46 83.65 1.59874e-07 7.99372e-09 532.73522
-85.50 128.46 82.77 1.65664e-07 8.28318e-09 532.73522
-84.50 128.46 81.90 1.71471e-07 8.57357e-09 532.73522
-83.50 128.46 81.02 1.76737e-07 8.83683e-09 532.73522
-82.50 128.46 80.14 1.81339e-07 9.06694e-09 532.73522
-81.50 128.46 79.26 1.86003e-07 9.30015e-09 532.73522
-80.50 128.46 78.39 1.90641e-07 9.53205e-09 532.73522
-79.50 128.46 77.50 1.95349e-07 9.76744e-09 532.73522
-78.50 128.46 76.62 1.99772e-07 9.98859e-09 532.73522
-77.50 128.46 75.74 2.03613e-07 1.01807e-08 532.73522
-76.50 128.46 74.85 2.06870e-07 1.03435e-08 532.73522
-75.50 128.46 73.97 2.09537e-07 1.04768e-08 532.73522
-74.50 128.46 73.08 2.11783e-07 1.05892e-08 532.73522
-73.50 128.46 72.19 2.13871e-07 1.06935e-08 532.73522
-72.50 128.46 71.30 2.15842e-07 1.07921e-08 532.73522
-71.50 128.46 70.40 2.18217e-07 1.09108e-08 532.73522
-70.50 128.46 69.50 2.20757e-07 1.10379e-08 532.73522
-69.50 128.46 68.61 2.23825e-07 1.11913e-08 532.73522
-68.50 128.46 67.70 2.27295e-07 1.13648e-08 532.73522
-67.50 128.46 66.80 2.31405e-07 1.15702e-08 532.73522
-66.50 128.46 65.89 2.36197e-07 1.18098e-08 532.73522
-65.50 128.46 64.98 2.41803e-07 1.20902e-08 532.73522
-64.50 128.46 64.07 2.47311e-07 1.23656e-08 532.73522
-63.50 128.46 63.15 2.52879e-07 1.26440e-08 532.73522
-62.50 128.46 62.23 2.57877e-07 1.28938e-08 532.73522
-61.50 128.46 61.31 2.63238e-07 1.31619e-08 532.73522
-60.50 128.46 60.39 2.68398e-07 1.34199e-08 532.73522
-59.50 128.46 59.46 2.72201e-07 1.36100e-08 532.73522
-58.50 128.46 58.53 2.72959e-07 1.36480e-08 532.73522
-57.50 128.46 57.59 2.71646e-07 1.35823e-08 532.73522
-56.50 128.46 56.65 2.70631e-07 1.35316e-08 532.73522
-55.50 128.46 55.70 2.71426e-07 1.35713e-08 532.73522
