# LAT    LCM    MU    RAD    ERROR    NU
-89.50 196.97 86.27 1.58481e-08 7.92405e-10 929.27953
-88.50 196.97 85.39 1.59305e-08 7.96526e-10 929.27953
-87.50 196.97 84.52 1.62049e-08 8.10247e-10 929.27953
-86.50 196.97 83.64 1.66443e-08 8.32215e-10 929.27953
-85.50 196.97 82.77 1.76029e-08 8.80146e-10 929.27953
-84.50 196.97 81.89 1.83958e-08 9.19792e-10 929.27953
-83.50 196.97 81.01 1.90998e-08 9.54990e-10 929.27953
-82.50 196.97 80.14 1.97494e-08 9.87472e-10 929.27953
-81.50 196.97 79.26 2.02769e-08 1.01384e-09 929.27953
-80.50 196.97 78.38 2.07189e-08 1.03594e-09 929.27953
-79.50 196.97 77.50 2.11741e-08 1.05871e-09 929.27953
-78.50 196.97 76.61 2.15575e-08 1.07787e-09 929.27953
-77.50 196.97 75.73 2.18125e-08 1.09062e-09 929.27953
-76.50 196.97 74.85 2.19790e-08 1.09895e-09 929.27953
-75.50 196.97 73.96 2.20598e-08 1.10299e-09 929.27953
-74.50 196.97 73.07 2.20887e-08 1.10443e-09 929.27953
-73.50 196.97 72.18 2.19821e-08 1.09911e-09 929.27953
-72.50 196.97 71.29 2.18975e-08 1.09488e-09 929.27953
-71.50 196.97 70.39 2.18570e-08 1.09285e-09 929.27953
-70.50 196.97 69.50 2.19308e-08 1.09654e-09 929.27953
-69.50 196.97 68.60 2.20657e-08 1.10328e-09 929.27953
-68.50 196.97 67.70 2.22684e-08 1.11342e-09 929.27953
-67.50 196.97 66.79 2.25396e-08 1.12698e-09 929.27953
-66.50 196.97 65.88 2.28953e-08 1.14477e-09 929.27953
-65.50 196.97 64.97 2.33640e-08 1.16820e-09 929.27953
-64.50 196.97 64.06 2.37944e-08 1.18972e-09 929.27953
-63.50 196.97 63.15 2.41745e-08 1.20873e-09 929.27953
-62.50 196.97 62.23 2.45161e-08 1.22580e-09 929.27953
-61.50 196.97 61.30 2.48457e-08 1.24229e-09 929.27953
-60.50 196.97 60.38 2.53618e-08 1.26809e-09 929.27953
-59.50 196.97 59.45 2.58817e-08 1.29409e-09 929.27953
-58.50 196.97 58.52 2.63148e-08 1.31574e-09 929.27953
-57.50 196.97 57.58 2.63436e-08 1.31718e-09 929.27953
-56.50 196.97 56.64 2.61859e-08 1.30930e-09 929.27953
-55.50 196.97 55.70 2.62942e-08 1.31471e-09 929.27953
-54.50 196.97 54.75 2.65731e-08 1.32866e-09 929.27953
-53.50 196.97 53.80 2.68887e-08 1.34444e-09 929.27953
-52.50 196.97 52.84 2.72014e-08 1.36007e-09 929.27953
-51.50 196.97 51.88 2.75956e-08 1.37978e-09 929.27953
-50.50 196.97 50.92 2.80372e-08 1.40186e-09 929.27953
-49.50 196.97 49.95 2.83186e-08 1.41593e-09 929.27953
-48.50 196.97 48.98 2.83041e-08 1.41520e-09 929.27953
-47.50 196.97 48.00 2.82532e-08 1.41266e-09 929.27953
-46.50 196.97 47.02 2.86154e-08 1.43077e-09 929.27953
-45.50 196.97 46.03 2.91855e-08 1.45927e-09 929.27953
-44.50 196.97 45.04 2.97993e-08 1.48996e-09 929.27953
-43.50 196.97 44.04 3.08425e-08 1.54212e-09 929.27953
-42.50 196.97 43.04 3.16382e-08 1.58191e-09 929.27953
-41.50 196.97 42.04 3.20968e-08 1.60484e-09 929.27953
-40.50 196.97 41.03 3.20626e-08 1.60313e-09 929.27953
-39.50 196.97 40.01 3.16414e-08 1.58207e-09 929.27953
-38.50 196.97 38.99 3.08537e-08 1.54269e-09 929.27953
-37.50 196.97 37.97 3.05722e-08 1.52861e-09 929.27953
-36.50 196.97 36.94 3.08157e-08 1.54079e-09 929.27953
-35.50 196.97 35.91 3.15530e-08 1.57765e-09 929.27953
-34.50 196.97 34.87 3.25332e-08 1.62666e-09 929.27953
-33.50 196.97 33.83 3.28349e-08 1.64174e-09 929.27953
-32.50 196.97 32.78 3.25560e-08 1.62780e-09 929.27953
-31.50 196.97 31.72 3.24294e-08 1.62147e-09 929.27953
-30.50 196.97 30.67 3.25514e-08 1.62757e-09 929.27953
-29.50 196.97 29.61 3.31789e-08 1.65894e-09 929.27953
-28.50 196.97 28.54 3.44770e-08 1.72385e-09 929.27953
-27.50 196.97 27.47 3.60764e-08 1.80382e-09 929.27953
-26.50 196.97 26.39 3.69367e-08 1.84683e-09 929.27953
-25.50 196.97 25.31 3.68281e-08 1.84140e-09 929.27953
-24.50 196.97 24.23 3.62604e-08 1.81302e-09 929.27953
-23.50 196.97 23.14 3.49785e-08 1.74893e-09 929.27953
-22.50 196.97 22.05 3.30249e-08 1.65124e-09 929.27953
-21.50 196.97 20.95 3.17548e-08 1.58774e-09 929.27953
-20.50 196.97 19.85 3.12045e-08 1.56022e-09 929.27953
-19.50 196.97 18.75 3.12477e-08 1.56239e-09 929.27953
-18.50 196.97 17.64 3.19883e-08 1.59941e-09 929.27953
-17.50 196.97 16.53 3.37571e-08 1.68786e-09 929.27953
-16.50 196.97 15.42 3.66652e-08 1.83326e-09 929.27953
-15.50 196.97 14.30 3.97744e-08 1.98872e-09 929.27953
-14.50 171.61 13.18 4.04125e-08 2.02062e-09 929.27953
-13.50 171.61 12.05 4.10722e-08 2.05361e-09 929.27953
-12.50 171.61 10.93 4.07465e-08 2.03733e-09 929.27953
-11.50 171.61 9.80 4.00953e-08 2.00477e-09 929.27953
-10.50 171.61 8.67 3.95417e-08 1.97708e-09 929.27953
-9.50 171.61 7.54 3.92794e-08 1.96397e-09 929.27953
-8.50 171.61 6.40 3.93837e-08 1.96919e-09 929.27953
-7.50 171.61 5.26 3.91553e-08 1.95777e-09 929.27953
-6.50 171.61 4.13 3.75821e-08 1.87910e-09 929.27953
-5.50 171.61 2.99 3.55064e-08 1.77532e-09 929.27953
-4.50 171.61 1.85 3.40757e-08 1.70378e-09 929.27953
-3.50 171.61 0.70 3.32453e-08 1.66227e-09 929.27953
-2.50 171.61 0.13 3.28124e-08 1.64062e-09 929.27953
-1.50 171.61 1.00 3.26691e-08 1.63345e-09 929.27953
-0.50 171.61 2.14 3.25749e-08 1.62875e-09 929.27953
0.50 171.61 3.86 3.24169e-08 1.62084e-09 929.27953
1.50 171.61 4.43 3.23603e-08 1.61802e-09 929.27953
2.50 171.61 5.57 3.22721e-08 1.61360e-09 929.27953
3.50 171.61 6.71 3.23117e-08 1.61559e-09 929.27953
4.50 171.61 7.86 3.25703e-08 1.62851e-09 929.27953
5.50 171.61 9.00 3.31492e-08 1.65746e-09 929.27953
6.50 171.61 10.14 3.42975e-08 1.71487e-09 929.27953
7.50 171.61 11.28 3.59917e-08 1.79959e-09 929.27953
8.50 171.61 12.42 3.78100e-08 1.89050e-09 929.27953
9.50 171.61 13.55 3.98589e-08 1.99294e-09 929.27953
10.50 171.61 14.69 4.19636e-08 2.09818e-09 929.27953
11.50 171.61 15.82 4.36229e-08 2.18114e-09 929.27953
12.50 171.61 16.95 4.43053e-08 2.21527e-09 929.27953
13.50 171.61 18.07 4.39240e-08 2.19620e-09 929.27953
14.50 171.61 19.20 4.23725e-08 2.11862e-09 929.27953
15.50 171.61 20.32 3.95038e-08 1.97519e-09 929.27953
16.50 146.25 21.44 4.05441e-08 2.02720e-09 929.27953
17.50 146.25 22.56 3.71204e-08 1.85602e-09 929.27953
18.50 146.25 23.67 3.44990e-08 1.72495e-09 929.27953
19.50 146.25 24.78 3.33433e-08 1.66717e-09 929.27953
20.50 146.25 25.88 3.34230e-08 1.67115e-09 929.27953
21.50 146.25 26.98 3.44863e-08 1.72432e-09 929.27953
22.50 146.25 28.08 3.57365e-08 1.78683e-09 929.27953
23.50 146.25 29.18 3.53523e-08 1.76761e-09 929.27953
24.50 146.25 30.27 3.36341e-08 1.68170e-09 929.27953
25.50 146.25 31.35 3.22163e-08 1.61081e-09 929.27953
26.50 146.25 32.44 3.15256e-08 1.57628e-09 929.27953
27.50 146.25 33.51 3.08934e-08 1.54467e-09 929.27953
28.50 146.25 34.59 2.95198e-08 1.47599e-09 929.27953
29.50 146.25 35.65 2.84630e-08 1.42315e-09 929.27953
30.50 146.25 36.72 2.80330e-08 1.40165e-09 929.27953
31.50 146.25 37.78 2.81743e-08 1.40871e-09 929.27953
32.50 146.25 38.83 2.85562e-08 1.42781e-09 929.27953
33.50 146.25 39.88 2.86999e-08 1.43500e-09 929.27953
34.50 146.25 40.93 2.87594e-08 1.43797e-09 929.27953
35.50 146.25 41.97 2.79952e-08 1.39976e-09 929.27953
36.50 146.25 43.01 2.69132e-08 1.34566e-09 929.27953
37.50 146.25 44.04 2.63104e-08 1.31552e-09 929.27953
38.50 146.25 45.06 2.61874e-08 1.30937e-09 929.27953
39.50 146.25 46.09 2.64387e-08 1.32193e-09 929.27953
40.50 146.25 47.10 2.66176e-08 1.33088e-09 929.27953
41.50 146.25 48.11 2.64113e-08 1.32057e-09 929.27953
42.50 146.25 49.12 2.61181e-08 1.30590e-09 929.27953
43.50 146.25 50.12 2.61104e-08 1.30552e-09 929.27953
44.50 146.25 51.12 2.61471e-08 1.30735e-09 929.27953
45.50 146.25 52.12 2.59420e-08 1.29710e-09 929.27953
46.50 146.25 53.10 2.56805e-08 1.28403e-09 929.27953
47.50 146.25 54.09 2.54906e-08 1.27453e-09 929.27953
