# LAT    LCM    MU    RAD    ERROR    NU
-89.50 234.78 86.27 7.74833e-08 3.87417e-09 766.75227
-88.50 234.78 85.39 7.80573e-08 3.90286e-09 766.75227
-87.50 234.78 84.52 7.90553e-08 3.95277e-09 766.75227
-86.50 234.78 83.64 8.06518e-08 4.03259e-09 766.75227
-85.50 234.78 82.77 8.42503e-08 4.21251e-09 766.75227
-84.50 234.78 81.89 8.63129e-08 4.31565e-09 766.75227
-83.50 234.78 81.01 8.78305e-08 4.39153e-09 766.75227
-82.50 234.78 80.14 8.84347e-08 4.42174e-09 766.75227
-81.50 234.78 79.26 8.84253e-08 4.42127e-09 766.75227
-80.50 234.78 78.38 8.79974e-08 4.39987e-09 766.75227
-79.50 234.78 77.50 8.77798e-08 4.38899e-09 766.75227
-78.50 234.78 76.61 8.74758e-08 4.37379e-09 766.75227
-77.50 234.78 75.73 8.68801e-08 4.34401e-09 766.75227
-76.50 234.78 74.85 8.59621e-08 4.29811e-09 766.75227
-75.50 234.78 73.96 8.47441e-08 4.23720e-09 766.75227
-74.50 234.78 73.07 8.31009e-08 4.15504e-09 766.75227
-73.50 234.78 72.18 8.11882e-08 4.05941e-09 766.75227
-72.50 234.78 71.29 7.93368e-08 3.96684e-09 766.75227
-71.50 234.78 70.39 7.78090e-08 3.89045e-09 766.75227
-70.50 234.78 69.50 7.65887e-08 3.82943e-09 766.75227
-69.50 234.78 68.60 7.58432e-08 3.79216e-09 766.75227
-68.50 234.78 67.70 7.55231e-08 3.77615e-09 766.75227
-67.50 234.78 66.79 7.57309e-08 3.78654e-09 766.75227
-66.50 234.78 65.88 7.63239e-08 3.81620e-09 766.75227
-65.50 234.78 64.97 7.69462e-08 3.84731e-09 766.75227
-64.50 234.78 64.06 7.74758e-08 3.87379e-09 766.75227
-63.50 234.78 63.15 7.77823e-08 3.88912e-09 766.75227
-62.50 234.78 62.23 7.81605e-08 3.90802e-09 766.75227
-61.50 234.78 61.30 7.91004e-08 3.95502e-09 766.75227
-60.50 234.78 60.38 8.04449e-08 4.02224e-09 766.75227
-59.50 234.78 59.45 8.21241e-08 4.10620e-09 766.75227
-58.50 234.78 58.52 8.32030e-08 4.16015e-09 766.75227
-57.50 234.78 57.58 8.31845e-08 4.15923e-09 766.75227
-56.50 234.78 56.64 8.27058e-08 4.13529e-09 766.75227
-55.50 234.78 55.70 8.28933e-08 4.14466e-09 766.75227
-54.50 234.78 54.75 8.39286e-08 4.19643e-09 766.75227
-53.50 234.78 53.80 8.49481e-08 4.24740e-09 766.75227
-52.50 234.78 52.84 8.60700e-08 4.30350e-09 766.75227
-51.50 234.78 51.88 8.75737e-08 4.37868e-09 766.75227
-50.50 234.78 50.92 8.90511e-08 4.45255e-09 766.75227
-49.50 234.78 49.95 8.97223e-08 4.48611e-09 766.75227
-48.50 234.78 48.98 8.97069e-08 4.48534e-09 766.75227
-47.50 234.78 48.00 8.95737e-08 4.47868e-09 766.75227
-46.50 234.78 47.02 9.03947e-08 4.51974e-09 766.75227
-45.50 234.78 46.03 9.19775e-08 4.59888e-09 766.75227
-44.50 234.78 45.04 9.39150e-08 4.69575e-09 766.75227
-43.50 234.78 44.04 9.68907e-08 4.84453e-09 766.75227
-42.50 234.78 43.04 9.95276e-08 4.97638e-09 766.75227
-41.50 234.78 42.04 1.00877e-07 5.04386e-09 766.75227
-40.50 234.78 41.03 1.01066e-07 5.05330e-09 766.75227
-39.50 234.78 40.01 1.00250e-07 5.01251e-09 766.75227
-38.50 234.78 38.99 9.86740e-08 4.93370e-09 766.75227
-37.50 234.78 37.97 9.82180e-08 4.91090e-09 766.75227
-36.50 234.78 36.94 9.86980e-08 4.93490e-09 766.75227
-35.50 234.78 35.91 1.00780e-07 5.03900e-09 766.75227
-34.50 234.78 34.87 1.03497e-07 5.17486e-09 766.75227
-33.50 234.78 33.83 1.04361e-07 5.21807e-09 766.75227
-32.50 234.78 32.78 1.03700e-07 5.18500e-09 766.75227
-31.50 234.78 31.72 1.02974e-07 5.14871e-09 766.75227
-30.50 234.78 30.67 1.03228e-07 5.16142e-09 766.75227
-29.50 234.78 29.61 1.04736e-07 5.23679e-09 766.75227
-28.50 234.78 28.54 1.08802e-07 5.44008e-09 766.75227
-27.50 234.78 27.47 1.13220e-07 5.66100e-09 766.75227
-26.50 234.78 26.39 1.15577e-07 5.77887e-09 766.75227
-25.50 234.78 25.31 1.15967e-07 5.79835e-09 766.75227
-24.50 234.78 24.23 1.15175e-07 5.75874e-09 766.75227
-23.50 234.78 23.14 1.11930e-07 5.59652e-09 766.75227
-22.50 234.78 22.05 1.07325e-07 5.36627e-09 766.75227
-21.50 234.78 20.95 1.04388e-07 5.21941e-09 766.75227
-20.50 234.78 19.85 1.03120e-07 5.15600e-09 766.75227
-19.50 234.78 18.75 1.03484e-07 5.17422e-09 766.75227
-18.50 234.78 17.64 1.06066e-07 5.30329e-09 766.75227
-17.50 234.78 16.53 1.11944e-07 5.59718e-09 766.75227
-16.50 234.78 15.42 1.20544e-07 6.02722e-09 766.75227
-15.50 234.78 14.30 1.29016e-07 6.45079e-09 766.75227
-14.50 230.51 13.18 1.28941e-07 6.44703e-09 766.75227
-13.50 230.51 12.05 1.31880e-07 6.59401e-09 766.75227
-12.50 230.51 10.93 1.32572e-07 6.62858e-09 766.75227
-11.50 230.51 9.80 1.31960e-07 6.59800e-09 766.75227
-10.50 230.51 8.67 1.31008e-07 6.55042e-09 766.75227
-9.50 230.51 7.54 1.30297e-07 6.51486e-09 766.75227
-8.50 230.51 6.40 1.30170e-07 6.50852e-09 766.75227
-7.50 230.51 5.26 1.28733e-07 6.43663e-09 766.75227
-6.50 230.51 4.13 1.24159e-07 6.20797e-09 766.75227
-5.50 230.51 2.99 1.18409e-07 5.92047e-09 766.75227
-4.50 230.51 1.85 1.14102e-07 5.70508e-09 766.75227
-3.50 230.51 0.71 1.11771e-07 5.58855e-09 766.75227
-2.50 230.51 0.15 1.10858e-07 5.54291e-09 766.75227
-1.50 230.51 1.01 1.10496e-07 5.52479e-09 766.75227
-0.50 230.51 2.15 1.10112e-07 5.50560e-09 766.75227
0.50 230.51 3.86 1.09641e-07 5.48205e-09 766.75227
1.50 230.51 4.43 1.09184e-07 5.45920e-09 766.75227
2.50 230.51 5.58 1.08459e-07 5.42297e-09 766.75227
3.50 230.51 6.72 1.07795e-07 5.38977e-09 766.75227
4.50 230.51 7.86 1.07762e-07 5.38808e-09 766.75227
5.50 230.51 9.00 1.08873e-07 5.44367e-09 766.75227
6.50 230.51 10.14 1.11218e-07 5.56089e-09 766.75227
7.50 230.51 11.28 1.14785e-07 5.73927e-09 766.75227
8.50 230.51 12.42 1.18301e-07 5.91504e-09 766.75227
9.50 230.51 13.55 1.23541e-07 6.17703e-09 766.75227
10.50 230.51 14.69 1.29772e-07 6.48859e-09 766.75227
11.50 230.51 15.82 1.34895e-07 6.74475e-09 766.75227
12.50 230.51 16.95 1.37342e-07 6.86709e-09 766.75227
13.50 230.51 18.08 1.36883e-07 6.84413e-09 766.75227
14.50 230.51 19.20 1.33291e-07 6.66453e-09 766.75227
15.50 230.51 20.32 1.26035e-07 6.30173e-09 766.75227
16.50 225.19 21.45 1.30827e-07 6.54136e-09 766.75227
17.50 225.19 22.56 1.21028e-07 6.05141e-09 766.75227
18.50 225.19 23.68 1.12524e-07 5.62620e-09 766.75227
19.50 225.19 24.79 1.07518e-07 5.37591e-09 766.75227
20.50 225.19 25.89 1.06370e-07 5.31850e-09 766.75227
21.50 225.19 26.99 1.08298e-07 5.41488e-09 766.75227
22.50 225.19 28.09 1.11373e-07 5.56864e-09 766.75227
23.50 225.19 29.19 1.10984e-07 5.54921e-09 766.75227
24.50 225.19 30.28 1.07964e-07 5.39820e-09 766.75227
25.50 225.19 31.36 1.05514e-07 5.27569e-09 766.75227
26.50 225.19 32.44 1.04557e-07 5.22785e-09 766.75227
27.50 225.19 33.52 1.03205e-07 5.16026e-09 766.75227
28.50 225.19 34.59 9.97918e-08 4.98959e-09 766.75227
29.50 225.19 35.66 9.70488e-08 4.85244e-09 766.75227
30.50 225.19 36.73 9.59546e-08 4.79773e-09 766.75227
31.50 225.19 37.79 9.65858e-08 4.82929e-09 766.75227
32.50 225.19 38.84 9.81300e-08 4.90650e-09 766.75227
33.50 225.19 39.89 9.89672e-08 4.94836e-09 766.75227
34.50 225.19 40.94 9.93720e-08 4.96860e-09 766.75227
35.50 225.19 41.98 9.78423e-08 4.89212e-09 766.75227
36.50 225.19 43.01 9.52018e-08 4.76009e-09 766.75227
37.50 225.19 44.05 9.28379e-08 4.64190e-09 766.75227
38.50 225.19 45.07 9.20704e-08 4.60352e-09 766.75227
39.50 225.19 46.09 9.30413e-08 4.65207e-09 766.75227
40.50 225.19 47.11 9.37053e-08 4.68527e-09 766.75227
41.50 225.19 48.12 9.30827e-08 4.65413e-09 766.75227
42.50 225.19 49.13 9.20878e-08 4.60439e-09 766.75227
43.50 225.19 50.13 9.16581e-08 4.58291e-09 766.75227
44.50 225.19 51.13 9.16359e-08 4.58179e-09 766.75227
45.50 225.19 52.12 9.10358e-08 4.55179e-09 766.75227
46.50 225.19 53.11 9.00488e-08 4.50244e-09 766.75227
47.50 225.19 54.10 8.91821e-08 4.45910e-09 766.75227
48.50 225.19 55.08 8.84072e-08 4.42036e-09 766.75227
49.50 225.19 56.05 8.74100e-08 4.37050e-09 766.75227
50.50 225.19 57.02 8.63304e-08 4.31652e-09 766.75227
51.50 225.19 57.99 8.56158e-08 4.28079e-09 766.75227
52.50 225.19 58.95 8.53950e-08 4.26975e-09 766.75227
53.50 225.19 59.91 8.52915e-08 4.26457e-09 766.75227
54.50 225.19 60.86 8.48095e-08 4.24047e-09 766.75227
55.50 225.19 61.81 8.37859e-08 4.18930e-09 766.75227
56.50 225.19 62.76 8.25909e-08 4.12954e-09 766.75227
57.50 225.19 63.70 8.13263e-08 4.06632e-09 766.75227
58.50 225.19 64.64 7.99535e-08 3.99767e-09 766.75227
59.50 225.19 65.57 7.86291e-08 3.93146e-09 766.75227
60.50 225.19 66.51 7.75209e-08 3.87605e-09 766.75227
61.50 225.19 67.43 7.65368e-08 3.82684e-09 766.75227
62.50 225.19 68.36 7.53767e-08 3.76883e-09 766.75227
63.50 225.19 69.28 7.38944e-08 3.69472e-09 766.75227
64.50 225.19 70.19 7.21278e-08 3.60639e-09 766.75227
65.50 225.19 71.11 7.02769e-08 3.51385e-09 766.75227
66.50 225.19 72.02 6.85489e-08 3.42744e-09 766.75227
67.50 225.19 72.93 6.68307e-08 3.34154e-09 766.75227
68.50 225.19 73.83 6.50683e-08 3.25342e-09 766.75227
69.50 225.19 74.74 6.33963e-08 3.16981e-09 766.75227
70.50 225.19 75.64 6.18322e-08 3.09161e-09 766.75227
71.50 225.19 76.54 6.04213e-08 3.02107e-09 766.75227
72.50 225.19 77.43 5.92103e-08 2.96052e-09 766.75227
73.50 225.19 78.32 5.81484e-08 2.90742e-09 766.75227
74.50 225.19 79.22 5.71505e-08 2.85753e-09 766.75227
75.50 225.19 80.11 5.62139e-08 2.81069e-09 766.75227
76.50 225.19 80.99 5.53368e-08 2.76684e-09 766.75227
77.50 225.19 81.88 5.44450e-08 2.72225e-09 766.75227
78.50 225.19 82.76 5.34752e-08 2.67376e-09 766.75227
79.50 225.19 83.65 5.23566e-08 2.61783e-09 766.75227
80.50 225.19 84.53 5.12165e-08 2.56083e-09 766.75227
81.50 225.19 85.41 4.99183e-08 2.49592e-09 766.75227
82.50 225.19 86.29 4.85884e-08 2.42942e-09 766.75227
83.50 225.19 87.16 4.73752e-08 2.36876e-09 766.75227
84.50 225.19 88.04 4.63820e-08 2.31910e-09 766.75227
85.50 225.19 88.92 4.55743e-08 2.27872e-09 766.75227
86.50 225.19 89.59 4.49766e-08 2.24883e-09 766.75227
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
