# LAT    LCM    MU    RAD    ERROR    NU
-89.50 79.24 86.27 2.96384e-08 1.48192e-09 887.52400
-88.50 79.24 85.39 2.98221e-08 1.49111e-09 887.52400
-87.50 79.24 84.52 3.05155e-08 1.52577e-09 887.52400
-86.50 79.24 83.64 3.21734e-08 1.60867e-09 887.52400
-85.50 79.24 82.77 3.53801e-08 1.76900e-09 887.52400
-84.50 79.24 81.89 3.77040e-08 1.88520e-09 887.52400
-83.50 79.24 81.01 3.95478e-08 1.97739e-09 887.52400
-82.50 79.24 80.14 4.10552e-08 2.05276e-09 887.52400
-81.50 79.24 79.26 4.21571e-08 2.10786e-09 887.52400
-80.50 79.24 78.38 4.30327e-08 2.15163e-09 887.52400
-79.50 79.24 77.50 4.36250e-08 2.18125e-09 887.52400
-78.50 79.24 76.62 4.40819e-08 2.20409e-09 887.52400
-77.50 79.24 75.73 4.43051e-08 2.21525e-09 887.52400
-76.50 79.24 74.85 4.41149e-08 2.20575e-09 887.52400
-75.50 79.24 73.96 4.38328e-08 2.19164e-09 887.52400
-74.50 79.24 73.07 4.32468e-08 2.16234e-09 887.52400
-73.50 79.24 72.18 4.22512e-08 2.11256e-09 887.52400
-72.50 79.24 71.29 4.13146e-08 2.06573e-09 887.52400
-71.50 79.24 70.39 4.02774e-08 2.01387e-09 887.52400
-70.50 79.24 69.50 3.94971e-08 1.97485e-09 887.52400
-69.50 79.24 68.60 3.90302e-08 1.95151e-09 887.52400
-68.50 79.24 67.70 3.88609e-08 1.94305e-09 887.52400
-67.50 79.24 66.79 3.88562e-08 1.94281e-09 887.52400
-66.50 79.24 65.89 3.90286e-08 1.95143e-09 887.52400
-65.50 79.24 64.98 3.92496e-08 1.96248e-09 887.52400
-64.50 79.24 64.06 3.95041e-08 1.97520e-09 887.52400
-63.50 79.24 63.15 3.94409e-08 1.97204e-09 887.52400
-62.50 79.24 62.23 3.92328e-08 1.96164e-09 887.52400
-61.50 79.24 61.31 3.92179e-08 1.96090e-09 887.52400
-60.50 79.24 60.38 3.97474e-08 1.98737e-09 887.52400
-59.50 79.24 59.45 4.05263e-08 2.02632e-09 887.52400
-58.50 79.24 58.52 4.12466e-08 2.06233e-09 887.52400
-57.50 79.24 57.58 4.14134e-08 2.07067e-09 887.52400
-56.50 79.24 56.64 4.11158e-08 2.05579e-09 887.52400
-55.50 79.24 55.70 4.13557e-08 2.06779e-09 887.52400
-54.50 79.24 54.75 4.21153e-08 2.10576e-09 887.52400
-53.50 79.24 53.80 4.28400e-08 2.14200e-09 887.52400
-52.50 79.24 52.84 4.34603e-08 2.17302e-09 887.52400
-51.50 79.24 51.88 4.43364e-08 2.21682e-09 887.52400
-50.50 79.24 50.92 4.52847e-08 2.26423e-09 887.52400
-49.50 79.24 49.95 4.56170e-08 2.28085e-09 887.52400
-48.50 79.24 48.98 4.54226e-08 2.27113e-09 887.52400
-47.50 79.24 48.00 4.47102e-08 2.23551e-09 887.52400
-46.50 79.24 47.02 4.48748e-08 2.24374e-09 887.52400
-45.50 79.24 46.03 4.57475e-08 2.28738e-09 887.52400
-44.50 79.24 45.04 4.68573e-08 2.34286e-09 887.52400
-43.50 79.24 44.04 4.80998e-08 2.40499e-09 887.52400
-42.50 79.24 43.04 4.93477e-08 2.46739e-09 887.52400
-41.50 79.24 42.04 5.05463e-08 2.52731e-09 887.52400
-40.50 79.24 41.03 5.11430e-08 2.55715e-09 887.52400
-39.50 79.24 40.01 5.07891e-08 2.53946e-09 887.52400
-38.50 79.24 38.99 4.93033e-08 2.46517e-09 887.52400
-37.50 79.24 37.97 4.88702e-08 2.44351e-09 887.52400
-36.50 79.24 36.94 4.92645e-08 2.46323e-09 887.52400
-35.50 79.24 35.91 5.04408e-08 2.52204e-09 887.52400
-34.50 79.24 34.87 5.22317e-08 2.61158e-09 887.52400
-33.50 79.24 33.83 5.27231e-08 2.63616e-09 887.52400
-32.50 79.24 32.78 5.24398e-08 2.62199e-09 887.52400
-31.50 79.24 31.73 5.13330e-08 2.56665e-09 887.52400
-30.50 79.24 30.67 5.18369e-08 2.59185e-09 887.52400
-29.50 79.24 29.61 5.41648e-08 2.70824e-09 887.52400
-28.50 79.24 28.54 5.71258e-08 2.85629e-09 887.52400
-27.50 79.24 27.47 6.03402e-08 3.01701e-09 887.52400
-26.50 79.24 26.39 6.21282e-08 3.10641e-09 887.52400
-25.50 79.24 25.31 6.24649e-08 3.12324e-09 887.52400
-24.50 79.24 24.23 6.25956e-08 3.12978e-09 887.52400
-23.50 79.24 23.14 6.25282e-08 3.12641e-09 887.52400
-22.50 79.24 22.05 6.04286e-08 3.02143e-09 887.52400
-21.50 79.24 20.95 5.73377e-08 2.86688e-09 887.52400
-20.50 79.24 19.85 5.54738e-08 2.77369e-09 887.52400
-19.50 79.24 18.75 5.49332e-08 2.74666e-09 887.52400
-18.50 79.24 17.64 5.61495e-08 2.80748e-09 887.52400
-17.50 79.24 16.53 5.97311e-08 2.98655e-09 887.52400
-16.50 79.24 15.42 6.59027e-08 3.29514e-09 887.52400
-15.50 79.24 14.30 7.29877e-08 3.64939e-09 887.52400
-14.50 79.24 13.18 7.56060e-08 3.78030e-09 887.52400
-13.50 79.24 12.06 7.34884e-08 3.67442e-09 887.52400
-12.50 79.24 10.93 7.06954e-08 3.53477e-09 887.52400
-11.50 79.24 9.80 6.88062e-08 3.44031e-09 887.52400
-10.50 79.24 8.67 6.71744e-08 3.35872e-09 887.52400
-9.50 79.24 7.54 6.63782e-08 3.31891e-09 887.52400
-8.50 79.24 6.40 6.89470e-08 3.44735e-09 887.52400
-7.50 79.24 5.27 7.18409e-08 3.59204e-09 887.52400
-6.50 79.24 4.13 6.99530e-08 3.49765e-09 887.52400
-5.50 79.24 2.99 6.55119e-08 3.27560e-09 887.52400
-4.50 79.24 1.85 6.29729e-08 3.14864e-09 887.52400
-3.50 79.24 0.72 6.24676e-08 3.12338e-09 887.52400
-2.50 79.24 0.19 6.23599e-08 3.11799e-09 887.52400
-1.50 79.24 1.02 6.25036e-08 3.12518e-09 887.52400
-0.50 79.24 2.16 6.23569e-08 3.11784e-09 887.52400
0.50 79.24 3.87 6.11848e-08 3.05924e-09 887.52400
1.50 79.24 4.44 5.99485e-08 2.99743e-09 887.52400
2.50 79.24 5.59 5.91613e-08 2.95806e-09 887.52400
3.50 79.24 6.73 5.90982e-08 2.95491e-09 887.52400
4.50 79.24 7.87 5.95847e-08 2.97923e-09 887.52400
5.50 79.24 9.01 6.13749e-08 3.06875e-09 887.52400
6.50 79.24 10.15 6.45319e-08 3.22659e-09 887.52400
7.50 79.24 11.29 6.94882e-08 3.47441e-09 887.52400
8.50 79.24 12.43 7.48852e-08 3.74426e-09 887.52400
9.50 79.24 13.56 7.76724e-08 3.88362e-09 887.52400
10.50 79.24 14.70 8.11841e-08 4.05921e-09 887.52400
11.50 79.24 15.83 8.56933e-08 4.28467e-09 887.52400
12.50 79.24 16.96 8.77875e-08 4.38938e-09 887.52400
13.50 79.24 18.09 8.86737e-08 4.43369e-09 887.52400
14.50 79.24 19.21 8.80033e-08 4.40017e-09 887.52400
15.50 79.24 20.33 8.41761e-08 4.20880e-09 887.52400
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
 nan   nan  nan      nan      nan      nan
