# LAT    LCM    MU    RAD    ERROR    NU    VIEW
-89.50 274.01 86.28 3.86775e-09 1.93387e-10 1112.15000 -1.0
-88.50 274.01 85.40 4.01226e-09 2.00613e-10 1112.15000 -1.0
-87.50 274.01 84.53 4.08838e-09 2.04419e-10 1112.15000 -1.0
-86.50 274.01 83.65 4.21981e-09 2.10991e-10 1112.15000 -1.0
-85.50 274.01 82.78 4.37623e-09 2.18811e-10 1112.15000 -1.0
-84.50 274.01 81.90 4.60937e-09 2.30469e-10 1112.15000 -1.0
-83.50 274.01 81.03 4.84989e-09 2.42495e-10 1112.15000 -1.0
-82.50 274.01 80.15 5.12736e-09 2.56368e-10 1112.15000 -1.0
-81.50 274.01 79.27 5.34759e-09 2.67379e-10 1112.15000 -1.0
-80.50 274.01 78.39 5.64542e-09 2.82271e-10 1112.15000 -1.0
-79.50 274.01 77.51 5.91007e-09 2.95503e-10 1112.15000 -1.0
-78.50 274.01 76.63 6.23398e-09 3.11699e-10 1112.15000 -1.0
-77.50 274.01 75.74 6.53822e-09 3.26911e-10 1112.15000 -1.0
-76.50 274.01 74.86 6.84059e-09 3.42030e-10 1112.15000 -1.0
-75.50 274.01 73.97 7.14244e-09 3.57122e-10 1112.15000 -1.0
-74.50 274.01 73.08 7.47712e-09 3.73856e-10 1112.15000 -1.0
-73.50 274.01 72.19 7.73027e-09 3.86514e-10 1112.15000 -1.0
-72.50 274.01 71.30 7.99980e-09 3.99990e-10 1112.15000 -1.0
-71.50 274.01 70.41 8.27296e-09 4.13648e-10 1112.15000 -1.0
-70.50 274.01 69.51 8.48846e-09 4.24423e-10 1112.15000 -1.0
-69.50 274.01 68.61 8.76176e-09 4.38088e-10 1112.15000 -1.0
-68.50 274.01 67.71 9.02335e-09 4.51167e-10 1112.15000 -1.0
-67.50 274.01 66.80 9.24779e-09 4.62389e-10 1112.15000 -1.0
-66.50 274.01 65.90 9.46544e-09 4.73272e-10 1112.15000 -1.0
-65.50 274.01 64.99 9.68784e-09 4.84392e-10 1112.15000 -1.0
-64.50 274.01 64.07 9.86400e-09 4.93200e-10 1112.15000 -1.0
-63.50 274.01 63.16 1.00227e-08 5.01137e-10 1112.15000 -1.0
-62.50 274.01 62.24 1.01805e-08 5.09026e-10 1112.15000 -1.0
