# LAT    LCM    MU    RAD    ERROR    NU    VIEW
-89.50 141.95 86.27 4.80731e-09 2.40365e-10 1012.52000 -1.0
-88.50 141.95 85.40 4.75914e-09 2.37957e-10 1012.52000 -1.0
-87.50 141.95 84.52 4.90116e-09 2.45058e-10 1012.52000 -1.0
-86.50 141.95 83.65 5.20914e-09 2.60457e-10 1012.52000 -1.0
-85.50 141.95 82.77 5.79224e-09 2.89612e-10 1012.52000 -1.0
-84.50 141.95 81.90 6.30829e-09 3.15414e-10 1012.52000 -1.0
-83.50 141.95 81.02 6.63542e-09 3.31771e-10 1012.52000 -1.0
-82.50 141.95 80.14 6.95836e-09 3.47918e-10 1012.52000 -1.0
-81.50 141.95 79.26 7.15231e-09 3.57615e-10 1012.52000 -1.0
-80.50 141.95 78.39 7.36816e-09 3.68408e-10 1012.52000 -1.0
-79.50 141.95 77.50 7.62657e-09 3.81328e-10 1012.52000 -1.0
-78.50 141.95 76.62 7.90001e-09 3.95001e-10 1012.52000 -1.0
-77.50 141.95 75.74 8.17755e-09 4.08877e-10 1012.52000 -1.0
-76.50 141.95 74.85 8.43643e-09 4.21821e-10 1012.52000 -1.0
-75.50 141.95 73.97 8.72837e-09 4.36418e-10 1012.52000 -1.0
-74.50 141.95 73.08 8.91391e-09 4.45695e-10 1012.52000 -1.0
-73.50 141.95 72.19 9.04969e-09 4.52484e-10 1012.52000 -1.0
-72.50 141.95 71.30 9.16569e-09 4.58284e-10 1012.52000 -1.0
-71.50 141.95 70.40 9.35840e-09 4.67920e-10 1012.52000 -1.0
-70.50 141.95 69.50 9.53478e-09 4.76739e-10 1012.52000 -1.0
-69.50 141.95 68.61 9.68053e-09 4.84026e-10 1012.52000 -1.0
-68.50 141.95 67.70 9.90031e-09 4.95015e-10 1012.52000 -1.0
-67.50 141.95 66.80 1.01309e-08 5.06546e-10 1012.52000 -1.0
-66.50 141.95 65.89 1.03542e-08 5.17712e-10 1012.52000 -1.0
-65.50 141.95 64.98 1.06053e-08 5.30267e-10 1012.52000 -1.0
-64.50 141.95 64.07 1.09051e-08 5.45257e-10 1012.52000 -1.0
-63.50 141.95 63.15 1.11671e-08 5.58355e-10 1012.52000 -1.0
-62.50 141.95 62.23 1.13686e-08 5.68430e-10 1012.52000 -1.0
-61.50 141.95 61.31 1.15462e-08 5.77309e-10 1012.52000 -1.0
-60.50 141.95 60.39 1.17970e-08 5.89851e-10 1012.52000 -1.0
-59.50 141.95 59.46 1.21037e-08 6.05185e-10 1012.52000 -1.0
-58.50 141.95 58.52 1.24533e-08 6.22665e-10 1012.52000 -1.0
-57.50 141.95 57.59 1.26174e-08 6.30872e-10 1012.52000 -1.0
-56.50 141.95 56.65 1.26059e-08 6.30293e-10 1012.52000 -1.0
-55.50 141.95 55.70 1.26642e-08 6.33211e-10 1012.52000 -1.0
-54.50 141.95 54.76 1.28260e-08 6.41298e-10 1012.52000 -1.0
-53.50 141.95 53.80 1.30904e-08 6.54520e-10 1012.52000 -1.0
-52.50 141.95 52.85 1.33146e-08 6.65731e-10 1012.52000 -1.0
