# LAT    LCM    MU    RAD    ERROR    NU    VIEW
-89.50 282.29 86.28 5.24510e-08 2.62255e-09 766.75227 -1.0
-88.50 282.29 85.40 5.32754e-08 2.66377e-09 766.75227 -1.0
-87.50 282.29 84.53 5.43912e-08 2.71956e-09 766.75227 -1.0
-86.50 282.29 83.65 5.59924e-08 2.79962e-09 766.75227 -1.0
-85.50 282.29 82.78 5.91445e-08 2.95723e-09 766.75227 -1.0
-84.50 282.29 81.90 6.13628e-08 3.06814e-09 766.75227 -1.0
-83.50 282.29 81.03 6.31784e-08 3.15892e-09 766.75227 -1.0
-82.50 282.29 80.15 6.42780e-08 3.21390e-09 766.75227 -1.0
-81.50 282.29 79.27 6.50632e-08 3.25316e-09 766.75227 -1.0
-80.50 282.29 78.39 6.56771e-08 3.28385e-09 766.75227 -1.0
-79.50 282.29 77.51 6.61256e-08 3.30628e-09 766.75227 -1.0
-78.50 282.29 76.63 6.64621e-08 3.32311e-09 766.75227 -1.0
-77.50 282.29 75.74 6.64515e-08 3.32258e-09 766.75227 -1.0
-76.50 282.29 74.86 6.63037e-08 3.31519e-09 766.75227 -1.0
-75.50 282.29 73.97 6.59033e-08 3.29517e-09 766.75227 -1.0
-74.50 282.29 73.08 6.52858e-08 3.26429e-09 766.75227 -1.0
-73.50 282.29 72.19 6.43868e-08 3.21934e-09 766.75227 -1.0
-72.50 282.29 71.30 6.35199e-08 3.17599e-09 766.75227 -1.0
-71.50 282.29 70.41 6.29952e-08 3.14976e-09 766.75227 -1.0
-70.50 282.29 69.51 6.23051e-08 3.11525e-09 766.75227 -1.0
-69.50 282.29 68.61 6.18560e-08 3.09280e-09 766.75227 -1.0
-68.50 282.29 67.71 6.19313e-08 3.09656e-09 766.75227 -1.0
-67.50 282.29 66.80 6.22114e-08 3.11057e-09 766.75227 -1.0
-66.50 282.29 65.90 6.28255e-08 3.14127e-09 766.75227 -1.0
-65.50 282.29 64.99 6.33262e-08 3.16631e-09 766.75227 -1.0
-64.50 282.29 64.07 6.37859e-08 3.18929e-09 766.75227 -1.0
-63.50 282.29 63.16 6.39837e-08 3.19919e-09 766.75227 -1.0
-62.50 282.29 62.24 6.44119e-08 3.22060e-09 766.75227 -1.0
-61.50 282.29 61.32 6.53523e-08 3.26761e-09 766.75227 -1.0
-60.50 282.29 60.39 6.64571e-08 3.32285e-09 766.75227 -1.0
-59.50 282.29 59.46 6.77468e-08 3.38734e-09 766.75227 -1.0
-58.50 282.29 58.53 6.85258e-08 3.42629e-09 766.75227 -1.0
-57.50 282.29 57.59 6.87052e-08 3.43526e-09 766.75227 -1.0
-56.50 282.29 56.65 6.84495e-08 3.42248e-09 766.75227 -1.0
-55.50 282.29 55.71 6.86188e-08 3.43094e-09 766.75227 -1.0
-54.50 282.29 54.76 6.95187e-08 3.47593e-09 766.75227 -1.0
-53.50 282.29 53.81 7.03301e-08 3.51651e-09 766.75227 -1.0
-52.50 282.29 52.85 7.12479e-08 3.56239e-09 766.75227 -1.0
-51.50 282.29 51.89 7.27449e-08 3.63725e-09 766.75227 -1.0
-50.50 282.29 50.93 7.39754e-08 3.69877e-09 766.75227 -1.0
-49.50 282.29 49.96 7.43477e-08 3.71738e-09 766.75227 -1.0
-48.50 282.29 48.99 7.42982e-08 3.71491e-09 766.75227 -1.0
-47.50 282.29 48.01 7.42412e-08 3.71206e-09 766.75227 -1.0
-46.50 282.29 47.03 7.49872e-08 3.74936e-09 766.75227 -1.0
-45.50 282.29 46.04 7.63530e-08 3.81765e-09 766.75227 -1.0
-44.50 282.29 45.05 7.80872e-08 3.90436e-09 766.75227 -1.0
-43.50 282.29 44.05 8.28231e-08 4.14115e-09 766.75227 -1.0
-42.50 282.29 43.05 8.64195e-08 4.32098e-09 766.75227 -1.0
-41.50 282.29 42.05 8.81010e-08 4.40505e-09 766.75227 -1.0
-40.50 282.29 41.04 8.82955e-08 4.41478e-09 766.75227 -1.0
-39.50 282.29 40.03 8.83322e-08 4.41661e-09 766.75227 -1.0
-38.50 282.29 39.01 8.78937e-08 4.39468e-09 766.75227 -1.0
-37.50 282.29 37.98 8.77226e-08 4.38613e-09 766.75227 -1.0
-36.50 282.29 36.95 8.82168e-08 4.41084e-09 766.75227 -1.0
-35.50 282.29 35.92 9.02998e-08 4.51499e-09 766.75227 -1.0
-34.50 282.29 34.88 9.32180e-08 4.66090e-09 766.75227 -1.0
-33.50 282.29 33.84 9.45617e-08 4.72809e-09 766.75227 -1.0
-32.50 282.29 32.79 9.40659e-08 4.70329e-09 766.75227 -1.0
-31.50 282.29 31.74 9.25822e-08 4.62911e-09 766.75227 -1.0
-30.50 282.29 30.68 9.13579e-08 4.56789e-09 766.75227 -1.0
-29.50 282.29 29.62 9.18138e-08 4.59069e-09 766.75227 -1.0
-28.50 282.29 28.55 9.37227e-08 4.68614e-09 766.75227 -1.0
-27.50 282.29 27.48 9.53684e-08 4.76842e-09 766.75227 -1.0
-26.50 282.29 26.41 9.54678e-08 4.77339e-09 766.75227 -1.0
-25.50 282.29 25.33 9.42022e-08 4.71011e-09 766.75227 -1.0
-24.50 282.29 24.24 9.20065e-08 4.60032e-09 766.75227 -1.0
-23.50 282.29 23.15 8.89531e-08 4.44766e-09 766.75227 -1.0
-22.50 282.29 22.06 8.48096e-08 4.24048e-09 766.75227 -1.0
-21.50 282.29 20.97 8.22813e-08 4.11406e-09 766.75227 -1.0
-20.50 282.29 19.87 8.13857e-08 4.06929e-09 766.75227 -1.0
-19.50 282.29 18.76 8.14096e-08 4.07048e-09 766.75227 -1.0
-18.50 282.29 17.65 8.30737e-08 4.15368e-09 766.75227 -1.0
-17.50 282.29 16.54 8.72190e-08 4.36095e-09 766.75227 -1.0
-16.50 282.29 15.43 9.36298e-08 4.68149e-09 766.75227 -1.0
-15.50 282.29 14.31 1.00382e-07 5.01909e-09 766.75227 -1.0
-14.50 282.29 13.19 1.05864e-07 5.29322e-09 766.75227 -1.0
-13.50 282.29 12.07 1.08475e-07 5.42377e-09 766.75227 -1.0
-12.50 282.29 10.94 1.08242e-07 5.41212e-09 766.75227 -1.0
